Mother Teresa World School,"663, Ognej Circle, Vadsar, Sarkhej Gandhinagar Highway, Ahmedabad - 380055, Near Airforce Station",+(91)-79-30925850,http://www.motherteresaschools.in,2012,4.2,"Schools , Boarding Schools"
Angel School,"100/1, Naresh Building, Maninagar, Ahmedabad - 380008, Opposite L G Hospital",+(91)-79-30932969,http://www.angelschool.co.in,1982,4.3,"Schools , English Medium Schools , Playgroups , Day Care Centres , Gujarati Medium Schools , Summer Camps , International Schools , Gseb Schools , Nursery Schools , Kindergartens , IGCSE Schools , Yoga Teacher Training Institutes , Teacher Training Institutes , Schools For Higher Secondary , Public Schools , Schools Nursery To X , Schools Nursery To VII"
R P Vasani International School,"Nikol Naroda Road, Nava Naroda, Ahmedabad - 382330, Behind Radheshyam Residency, Near Suyog 99, Oppo...",+(91)-79-33014932,http://www.rpvis.org,2014,4.3,"CBSE Schools , Schools , English Medium Schools , Nursery Schools , Kindergartens"
Bright School,"Mangal Vidyalay School Campus, Ellis Bridge, Ahmedabad - 380006, Near Mithakhali Bus Stop",+(91)-79-30491971,http://www.brightschool.in,,3.6,"Schools , Playgroups , English Medium Schools , Day Care Centres , Kindergartens , Nursery Schools"
Euro Kids,"14, Dungarshree Nagar 1, Anjali Cross Road, Paldi, Ahmedabad - 380007, Near Sheth Hospital",+(91)-79-30495454,,2002,4.0,"Schools , Playgroups , Kindergartens , Nursery Schools"
Earth School,"Ioc Road, Chandkheda, Ahmedabad - 382424, Behind Satyamev Hospital, Opposite Aaradhya Home, Jundal, ...",+(91)-79-33021223,,2015,3.5,"Schools , English Medium Schools , Playgroups , Gujarati Medium Schools , Kindergartens"
Anand Niketan School,"Plot No 495, Thaltej Shilaj Road, Opposite Aryaman Bungalow, Shilaj, Ahmedabad - 380058, Near Ambli ...",+(91)-79-33012959,http://www.anandniketan.org,1997,4.2,"Schools , Playgroups , ICSE Schools , International Schools , Kindergartens , Nursery Schools , Schools For Higher Secondary , Schools Nursery To X"
Brightstart Pre School,"B 26, Himmatlalpark Society, Satellite, Ahmedabad - 380015, Near Azad Society, Opposite Bimanagar",+(91)-79-33015840,http://www.thebrightstart.com,2008,4.6,"Schools , English Medium Schools , Playgroups , Gseb Schools , Nursery Schools , Kindergartens"
Shanti Asiatic School,"200 Feet Ring Road, Bopal, Ahmedabad - 380058, Opposite Vraj Gardens",+(91)-79-33212434,http://www.shantiasiatic.org,2000,4.1,"Schools , CBSE Schools , English Medium Schools"
Ruth Memorial School,"Vasna Barrage Road, Vasna, Ahmedabad - 380007",+(91)-79-30234390,,1981,4.0,"Schools , English Medium Schools , Gseb Schools , Nursery Schools , Kindergartens , Schools Nursery To X , Schools Nursery To VII"
