Orchids The International School,"No.4,5,6, Valegarahalli,Kengeri, Mysore Road, Bangalore - 560039, Opposite R V Engineering College",+(91)-80-33674260,http://www.orchids.edu.in,2013,3.8,"CBSE Schools , Schools , Montessori Schools , International Schools , Nursery Schools"
SSB International School,"No.5/A, Hal 2nd Stage, Krishnarajapuram, Bangalore - 560016",+(91)-80-39627869,,1977,3.9,"Schools , ICSE Schools , Kindergartens , Montessori Schools , International Schools , Montessori International"
Bachpan A Play School,"Plot No.29, 4th Main,Church Street,Munireddy Layout, Horamavu, Bangalore - 560043, Close Shoba Store...",+(91)-80-39557805,http://www.bachpanglobal.com,2012,4.4,"Schools , Kindergartens , Day Care Centres , Montessori Schools , Montessori Teachers Training Institutes , Language Classes For Kannada , Teacher Training Institutes , Nursery Teacher Training Institutes , Nursery Schools"
Hillrock National Public School,"Survey No.101, Brahmadevara Gutte, Kodigehalli, 6th Block, Vishweshwaraya Layout, Nagarbhavi, Bangal...",+(91)-80-33538391,http://www.hillrocknationalpublicschool.com,2015,4.4,"CBSE Schools , Schools , Kindergartens , Montessori Schools , Nursery Schools , CBSE Boarding Schools"
Little Angels School,"No.183, 2nd Cross, Nehru Road, Kammanahalli, Bangalore - 560084, Opposite Mosque",+(91)-80-39627997,,1993,3.7,"Schools , Kindergartens , Day Care Centres , Montessori Schools , Schools State Syllabus , Baby Sitters , Nursery Schools , Schools Nursery To X"
SSB International School,"No.5/A, Hal 2nd Stage,100 Feet Road, Indiranagar, Bangalore - 560038, Opposite G G Hospital",+(91)-80-39629381,,1977,3.8,"Schools , ICSE Schools , Kindergartens , Montessori Schools , International Schools , Montessori International"
Guru Educational And Charitable Trust,"No.116/2,2nd Floor, Magadi Main Road, Vishwaneedam Post, Byadarahalli,Anjana Nagar, Sunkadakatte, Ba...",+(91)-80-39827958,,2011,5.0,"Schools , Correspondence Education , MBA Institutes , MBA Correspondence Institutes , B Com Institutes , Distance Education Institutes , Institutes For Puc Correspondence , B Ed Correspondence Institutes , BCom Correspondence Institutes , BA Correspondence Institutes , Correspondence Colleges , Institutes For Sslc Correspondence , Education Consultants For MBA , Institutes For MA , MCom Correspondence Institutes , MA Correspondence Institutes , Institutes For B Tech Correspondence , Institutes For M Tech Correspondence , BCA Correspondence Institutes , BSc IT Institutes , Institutes For BE Correspondence , MSC Correspondence Institutes , Institutes For BSc Correspondence , Institutes For Bbm Correspondence , MCA Correspondence Institutes , Institutes For Journalism Correspondence , Institutes For Diploma In Journalism Correspondence , Institutes For Distance Education B Tech , Institutes For Distance Education Engineering , BBA Correspondence Institutes , Institutes For Bbm , BSc Correspondence Institutes , Institutes For Advanced Diploma Course , Institutes For Distance Education Executive MBA , Institutes For BSc IT Correspondence , Institutes For Distance Education In Pgdrm , Institutes For Finance Correspondence , Institutes For Distance Education Diploma In Engineering , MSC IT Correspondence Institutes"
Vikramaditya Public School,"No.31, 6th Cross,K N Extension, Yeshwanthpur, Bangalore - 560022, Near To Lakshmi Venkateshwara Kaly...",+(91)-80-33792065,,2015,4.0,"Schools , Schools State Syllabus , Nursery Schools , English Medium Schools , Schools Aided , Schools Nursery To VII"
Sree Raghavendra High School,"Magadi Main Road,Vrushabavathinagar, Kamakshipalya, Bangalore - 560079, Opposite Pooja Convention Hall",+(91)-80-33055819,http://www.srhstheschool.com,1981,3.6,"Schools , Kindergartens , Schools State Syllabus , Public Schools , Nursery Schools , English Medium Schools , Schools Nursery To VII , Schools Nursery To X"
ALPINE PU COLLEGE,"No.19/1, bikasapura,kanakpura main raod, Konanakunte Cross, Bangalore - 560062, Near Metro cash & ca...",+(91)-80-33792282,http://www.alpinepucollege.com,2013,3.5,"CBSE Schools , Schools , Pre University Institutes , Nursery Schools"
New Baldwin Residential School,"No.25, Ramamurthy Nagar Main Road, Banaswadi, Bangalore - 560043, Next Rashi Diagnostic Centre",+(91)-80-33090748,http://www.newbaldwininstitutions.org,1990,3.9,"Schools , ICSE Schools , Kindergartens , Pre University Institutes , Boarding Schools , Montessori Schools , International Schools , Schools State Syllabus , Nursery Schools , ICSE Boarding Schools , Schools Nursery To VII"
Gnan Srishti School Of Excellence,"19th Main, 17th Cross, Sector 1, Hsr Layout, Bangalore - 560102, Near Hsr Water Tank",+(91)-80-33050196,http://www.gsshsr.com,2008,3.9,"Schools , ICSE Schools , Kindergartens , Day Care Centres , Montessori Schools , Nursery Schools , English Medium Schools , Schools Nursery To X"
Smart Kidz Play School,"Plot No.34, Yemlur Main Road, Kempapura, Marathahalli, Bangalore - 560037, Near Rohan Jhoraka Apartm...",+(91)-80-33083455,http://www.smartkidzindia.com,2010,4.0,"CBSE Schools , Schools , Kindergartens , Day Care Centres , Nursery Schools , Creche , English Medium Schools"
Saandeepani Academy For Excellence,"No.90/75, Sarjapura, Bangalore - 562125, Near Sompura Gate",+(91)-80-30161025,http://www.saandeepani.in,2011,3.5,"Schools , ICSE Schools , Kindergartens , Playgroups , Nursery Schools"
Bangalore Education Guide Line pvt ltd,"No.68,1sr Floor, 4th Main,Postal Colony, Sanjay Nagar, Bangalore - 560094, Near Daffodials School",+(91)-80-33792104,,2009,3.7,"CBSE Schools , Schools , ICSE Schools , Kindergartens , Boarding Schools , Montessori Schools , Schools State Syllabus , Law Colleges , Sslc Tutorials , Nursing Institutes , Institutes For Personality Development , Boys Boarding Schools , Nursery Schools , Convent Schools , Girls Boarding Schools , College Degree One Sitting , CBSE Boarding Schools , IGCSE Schools , Islamic Schools , Girls Schools , Agricultural Colleges , English Medium Schools , Institutes For Paramedical Sciences , Boys School , Institutes For Financial Management , Isc Schools , ICSE Boarding Schools , Open School , CBSE Boarding Schools For Boys , Army Schools , Training Institutes for Commercial Pilots , BBA Tutorials , Agriculture Biotechnology Colleges , CBSE Boarding Schools For Girls , Institutes For Part Time MBA , College Btech One Sitting , Institutes For Facility Management , Correspondence Course Physical Education , Diploma In Electrical Engineering Correspondence Institutes , Institutes For PHD Correspondence , Institutes For PHD Law Correspondence , Online Education , BSc Home Science Colleges , IGCSE Boarding Schools , Institutes For Mass Communication Correspondence , Institutes For MBA In Media , Institutes For Financial Management Diploma , Education Consultants For MDS , Institutes For Tourism Correspondence , Institutes For Paramedical Correspondence , Institutes For Nursing MSC , Institutes For MS Mcit Correspondence , Institutes For PHD IT Management Correspondence , Institutes For MBA In Health Care Management , Overseas Education Consultants For Engineering , College MPhil One Sitting , Institutes For Distance Education In Operation Management , Overseas Education Consultants For Commerce , Admission Counselling For B Ed , Institutes For Distance Education Dbm , Institutes For Distance Education In Pgdrm , Education Consultants For MBBS In Abroad , Institutes For PHD Arts Correspondence , Education Consultants For Maharashtra , Institutes For Micro Biology Correspondence , Institutes For Environmental Science Correspondence , Institutes For Elevator Engineering , Institutes For Marketing Correspondence , Education Abroad For Human Sciences , Education Abroad For Hotel Management , Education Abroad For Management , Education Abroad For BBA , Education Abroad For MS Engg , Education Abroad For Doctors , Institutes For Finance Correspondence , Institutes For Production Correspondence , Institutes For Pgdba Correspondence , Overseas Education Consultants For BDS , Institutes For MBA International , Overseas Education Consultants For Graduate , Overseas Education Consultants For Diploma , Overseas Education Consultants For BE , Institutes For MBA In Infrastructure Management , Institutes For Financial Management Correspondence , Institutes For MS Communication Correspondence , Institutes For Politics Science Correspondence , Institutes For MSC Apparel Technology & Mgt , Correspondence Course Medicine , Institutes For Nursing Correspondence , Institutes For Personnel Management"
Patel Group Of Institutions,"No.25/2, Kariyammanna Agrahara, Bellandur, Bangalore - 560103, Nr Outer Ring Road",+(91)-80-33055976,http://www.patelgroupofinstitutions.edu.in,2006,3.8,"CBSE Schools , Schools , Colleges , ICSE Schools , Institutes , Pre University Institutes , Correspondence Education , Puc Tutorials , Fashion Designing Institutes , Engineering Institutes , MBA Institutes , Schools State Syllabus , Institutes For Hotel Management , Interior Designing Institutes , MBA Correspondence Institutes , Law Colleges , Polytechnic Institutes , B Com Institutes , Nursing Institutes , Institutes For Puc Correspondence , Management Institutes , BCom Correspondence Institutes , Nursery Schools , MSC Institutes , B Com Tutorials , BA Correspondence Institutes , Correspondence Colleges , Bbm Institutes , BBA Institutes , Evening Colleges For MBA , MBA Colleges , Institutes For BCA , BA Institutes , Institutes For BSc , MCA Institutes , M Tech Institutes , Bbm Colleges , B Tech Engineering Institutes , Institutes For Sslc Correspondence , Institutes For Paramedical Sciences , Education Consultants For MBA , MCom Institutes , Institutes For MA , Biotechnology Institutes , MCom Correspondence Institutes , Institutes For Financial Management , MA Correspondence Institutes , Junior Colleges , Institutes For Diploma In Civil Engineering , Mechanical Engineering Institutes , BCA Correspondence Institutes , Institutes For MPhil , Institutes For M Tech Correspondence , Institutes For B Tech Correspondence , Institutes For BE Correspondence , Civil Engineering Institutes , MSC Correspondence Institutes , Institutes For BSc Correspondence , Institutes For Diploma In Post Graduate , Institutes For Bbm Correspondence , Institutes For Part Time MBA , Institutes For MSC Biotechnology , Institutes For Hotel Management Correspondence , Institutes For Marketing , Institute Nursing BSc , Retail Management Institutes , Institutes For PHD Correspondence , Institutes For PHD Law Correspondence , Institutes For Llm Correspondence , MCA Correspondence Institutes , Institutes for Electrical Engineering , Chemical Engineering Institutes , BBA Correspondence Institutes , Institutes For Electronics & Communication Engineering , Institutes For MPhil Correspondence , Institutes For Diploma In Journalism Correspondence , Institutes For Distance Education B Tech , Institutes For M Pharma , Institutes For BSc Biotechnology , Institutes For Distance Education Engineering , Institutes For MBA In Media , Institutes For Bbm , BSc Correspondence Institutes , MBA College Correspondence , Institutes For Business Accounting , Institute Computer Engineering , Institutes For BSc IT Correspondence , Institutes For Distance Education Executive MBA , Institutes For Bhm Correspondence , Institutes For Social Work , Institutes For Nursing Gnm , Institutes For Diploma In Information Technology , Institutes For Pgdpm , Institutes For Pgdabpm , Institutes For Gnm , Institutes For Biotechnology Engineering , Institutes For PGDCA , Institutes For BSc Management , Institutes For International Marketing Management , Institutes For Distance Education Diploma In Engineering , Institutes For Biotechnology Correspondence , Institutes For Pgdmm , Institutes For Marketing Management , Institutes For Nursing Correspondence , MSC IT Correspondence Institutes , Institutes For PGDCA Correspondence , Institutes For Financial Management Correspondence , Education Consultants For M Pharmacy , Admission For Engineering , Institutes For Pgdba , Institutes For Pgdba Correspondence , Institutes For Nursing Diploma , Institutes For Human Resource Development Correspondence"
Hmr International School,"No.41/1, 9th Main Road, 11th Cross, Hennur Maruthi Layout, Hbr 4th Block, Kalyan Nagar Post, Kalyan ...",+(91)-80-33674981,http://www.hmrgroup.com,2012,4.6,"CBSE Schools , Schools , International Schools"
Mother Mary English School,"No.976, 1st Main,1st Block,New Tippasandra,Geetanjali Layout, Hal 3rd Stage New Thippasandra, Bangal...",+(91)-80-33563324,http://mothermaryschool.in,1984,4.3,"Schools , Schools State Syllabus , Nursery Schools , English Medium Schools , Schools Nursery To X"
Touch Internationale Montessori House Of Children(AMI),"No.29-102/B, 9th Cross, 4th Block, HBR Layout, Bangalore - 560043, Behind Garden City AG Church",+(91)-80-33562567,http://www.touchinternationale.com,1992,4.5,"Schools , Montessori Schools , Playgroups , Nursery Schools , IGCSE Schools , Creche , English Medium Schools , Learning Disability Instructors , Schools For Autism , Montessori International"
