St. Soldiers School,"Panchkula Sector 16, Panchkula - 134109",+(91)-172-4982225,http://www.saintsoldierschool.com,1984,4.5,"Schools , CBSE Schools , Playgroups , English Medium Schools , Nursery Schools , Kindergartens , Senior Secondary Schools , School For Girls , Primary Schools , School Co Education"
D C Montessori Senior Secondary Smart School,"Pocket Number 2 & 3, Mani Majra, Chandigarh - 160101, Near Modern Housing Complex",+(91)-172-4986259,http://www.dcmschd.edu.in,2008,4.7,"Schools , CBSE Schools , English Medium Schools , High School , Senior Secondary Schools , Montessori Schools , Primary Schools , School Co Education"
Shemrock Foundation School,"VIP Road Interlink Logarh Road, Zirakpur Ho, Zirakpur - 140603",+(91)-172-4986251,,Nursery To Vth,3.8,"Schools , Playgroups , English Medium Schools , Day Care Centres , Nursery Schools , Kindergartens , Creche , Summer Camps , Summer Camp For Children , Day Nurseries, Nursery Schools & Kindergardens"
St Joseph School,"CBSE Based On Convent Pattern, Village Manauli Surat, Lalru, Mohali - 140501, Banur Road",+(91)-172-4983322,http://www.sjsambala.com,2013,3.5,"Schools , CBSE Schools , Playgroups , English Medium Schools , Convent Schools , Nursery Schools"
Stepping stones senior secondary school,"Sector -37/D, Chandigarh Sector 37d, Chandigarh - 160036",+(91)-172-4984879,http://www.steppingstoneschd.org,1984,4.6,"Schools , CBSE Schools , Boarding Schools"
Euro Kids,"Panchkula Sector 9, Panchkula - 134109, Opposite House No 988",+(91)-172-4983645,http://www.eurokidsindia.com,Duplicate With Paid,4.3,"Schools , Playgroups , English Medium Schools , Nursery Schools , Kindergartens , Creche , Activity Clubs , Day Boarding Schools , Pre Nursery Schools , Day Nurseries, Nursery Schools & Kindergardens"
Holy Faith Preparatory A Fun School,"Scf-75, Top Floor, Main Market, Chandigarh Sector 38c, Chandigarh - 160036, Near Gobind Sweets & Gul...",+(91)-172-4985112,,1995,5.0,"Schools , Playgroups , Nursery Schools , Pre Nursery Schools"
Sherwood Convent School,"Phase-IV, Mohali Chandigarh, Chandigarh - 160059, SAS Nagar",+(91)-172-4981941,,1. Summer Camp,4.7,"Schools , CBSE Schools , Boarding Schools , Playgroups , English Medium Schools , Convent Schools , Nursery Schools , CBSE Boarding Schools , Public Schools , Pre Nursery Schools , Primary Schools"
Bachpan Play School,"S 32 Vasant Vihar, Phase 1 , Dhakoli, Zirakpur - 140603, Near Bauoli Sahib Gurudwara",+(91)-172-4986321,http://www.facebook.com/dhakaulibachpan,2013,1.0,"Schools , Playgroups , Day Care Centres , Nursery Schools , Kindergartens , Pre Nursery Schools , Summer Camp For Children , Day Nurseries, Nursery Schools & Kindergardens"
Bachpan Zirakpur,"Plot No 90, New Defence Colony, New Defence Colony-Zirakpur Ho, Zirakpur - 140603, Behind Lucky Dhab...",+(91)-172-4986282,http://www.bachpanglobal.com,2010,3.8,"Schools , Playgroups , English Medium Schools , Day Care Centres , Nursery Schools , Kindergartens , Creche , Activity Clubs , Day Boarding Schools , Pre Nursery Schools , Day Nurseries, Nursery Schools & Kindergardens"
