Loyola International Residential School,"Dmi Campus, Chennai Bangalore National Highway, Poonamallee, Chennai - 600056, Opposite To Queens Land",+(91)-44-39612516,,* Timings  : 8.30 Am To 3.30 Pm,4.2,"CBSE Schools , Schools , Boarding Schools , International Schools , Boys Boarding Schools , CBSE Boarding Schools For Boys"
New Kids World Pre School,"No 2, Sathiavani Muthu Street Gandhi Nagar, Avadi, Chennai - 600054, Near Avadi Check Post",+(91)-44-30649643,,2010,5.0,"Schools , Playgroups , Montessori Schools , Primary Schools , Kindergartens , Nursery Schools"
Good Shepherd Matric Higher Secondry School,"No 352, Kammalar Street Station Road, Korattur, Chennai - 600050, Opposite To Briatnia",+(91)-44-30997075,,1979,3.5,"Schools , English Medium Schools , Montessori Schools , Primary Schools , Kindergartens , Girls Schools , Nursery Schools , Boys School"
Violet Matriculation Higher Secondary School,"No 7, Vaidhya Lingam Salai, Chitlapakkam, Chennai - 600064, Thirumurugan Nagar",+(91)-44-39612636,http://www.violetschool.in,1995,4.3,"Schools , English Medium Schools"
Ebenezer  Mat Hr Sec School,"No 16, 7th Street Tnhb Colony, Korattur, Chennai - 600080, Behind Canra Bank",+(91)-44-33068098,http://www.ebenezerinstitutions.com,1982,4.3,"Schools , Boarding Schools , English Medium Schools , Montessori Schools , Primary Schools , Nursery Schools , Boys Boarding Schools , Girls Boarding Schools"
Kidzee,"Plot No 6 Annai Therasa Street, Kazhipattur Omr Road, Padur, Chennai - 603103, Next To Anand Institu...",+(91)-44-39976237,http://www.kidzee.com,2014,4.9,"Schools , Playgroups , Language Classes For Hindi , Day Care Centres , Handwriting Classes , Primary Schools , Kindergartens , Nursery Schools , Dance Schools , Fine Art Institutes , Training Pre School Skills , After School"
Pretty Dolls Play School,"No 4/740 4th Block, Mogappair West, Chennai - 600037, Behind Dr Super Market",+(91)-44-39341298,http://www.prettydollschool.com,2002,4.7,"Schools , Playgroups , Day Care Centres , Montessori Teachers Training Institutes , Creche , Montessori Schools , Primary Schools , Kindergartens , Nursery Schools , Training Pre School Skills"
Little Elly,"No:hig-5, 7th Street, 4th Main Road, Eri Scheme, Mogappair, Chennai - 600037, Near Ambedkar Play Gro...",+(91)-44-33028596,http://www.littleelly.com,2009,3.8,"Schools , English Medium Schools"
Divyam Kids International Pre School And Kindergarten,"No 5, Spartan Nagar Mogappair, Mogappair East, Chennai - 600037, Behind Dr Cherian Heart Foundation",+(91)-44-33029572,http://www.divyam.org/preschool,Awards & Achievements,4.7,"CBSE Schools , Schools , Playgroups , Summer Camps , Day Care Centres , International Schools , Montessori Schools , Kindergartens , Phonics Classes , Nursery Schools"
D A Ve Baba Vidyalaya,"No 16, Vandikaran Street, Velacheri, Chennai - 600042, Opposite To Check Post",+(91)-44-33042924,http://www.davbabacbseschool.com,2009,3.8,"CBSE Schools , Schools"
