Ssvm World School,"No 72/2, Vaigai Nagar Singanallur To Vellalore Road Pattanam, Ondipudur, Coimbatore - 641016",+(91)-422-3358416,http://www.ssvmws.com,2009,4.4,"Schools , CBSE Schools , International Schools"
Parth International School,"No 105, Mtp Road Ruckammal Colony, Thudialur, Coimbatore - 641034, Opposite Viswanathapuram Near Kan...",+(91)-422-3372325,http://www.parthglobal.org,*basic Facilities-,4.7,"Schools , CBSE Schools , English Medium Schools , ICSE Schools , International Schools , Kindergartens , Pre Nursery Schools , Day Nurseries, Nursery Schools & Kindergardens"
The New School,"No 51, Curio Garden, Ganga Street, Vadavalli, Coimbatore - 641041, Navavoor Pirivu",+(91)-422-3361494,,2013,5.0,"Schools , Playgroups , Nursery Schools , Kindergartens , Montessori Schools , Pre Nursery Schools , Junior KG"
Maharishi Vidya Mandir Senior Secondary School,"559 Ramanis Mayuri, Thudialur Road, Chinnavedampatti, Coimbatore - 641049, Near Sunambu Kalvai Bus S...",+(91)-422-3373934,http://www.mvmcbe.com,Classes : Pre Kg  To  8th Std,4.2,"Schools , CBSE Schools , English Medium Schools , Nursery Schools , Senior Secondary Schools , Primary Schools"
Nakshatra International School,"No 1 Meenakshi Gardens, Mettupalayam Road, Thudialur, Coimbatore - 641034, Opposite To Vg Hospital",+(91)-422-3358009,http://www.nakshatraschool.com,2012,3.8,"Schools , CBSE Schools , Playgroups , International Schools , Kindergartens , Pre Nursery Schools"
Githanjali Public School,"No 383/1, Near Codissia Fair Grounds, Peelamedu, Coimbatore - 641004, Near Isckon",+(91)-422-3373383,http://www.githanjalipublicschool.com,2002,4.7,"Schools , CBSE Schools , English Medium Schools , ICSE Schools , Convent Schools , Nursery Schools , Kindergartens , High School , Public Schools , Senior Secondary Schools , School For Girls , Pre Nursery Schools , IGCSE Schools , Rbse Schools , Primary Schools , School Co Education , Day Nurseries, Nursery Schools & Kindergardens"
Victory Vidyalaya Matric Hr Sec School,"No 76, Victory Nager, Saravanampatti, Coimbatore - 641035, Near By Kappikadai Bus Stop",+(91)-422-3373392,http://www.victoryvidhyalaya.com,2002,5.0,"Schools , CBSE Schools , Boarding Schools , English Medium Schools"
Nise Nagarathinam International School Of Excellence,"Voc Colony Ellai Thottam Road, Peelamedu, Coimbatore - 641004, Backside Of Psg Tech",+(91)-422-3358187,http://www.nise.in,* Std : Pre Kg To 5th Std,4.0,"Schools , CBSE Schools , ICSE Schools , High School"
T V Sekharan Memorial Matriculation Hr Sec School,"No 5/7A, Perur Road Gokulam Colony, Kovaipudur, Coimbatore - 641042",+(91)-422-3361327,,1993,5.0,"Schools , Boarding Schools , Playgroups , English Medium Schools , Day Care Centres , Convent Schools , Kindergartens , Correspondence Schools , Residential Schools In Coimbatore"
K G Public Matric Hr Sec School,"K G Matric School Road, Pachapalayam, Perur, Coimbatore - 641010, Perur Via,",+(91)-422-3361509,http://www.kgpublicschool.com,2011,4.0,"Schools , CBSE Schools , Boarding Schools , English Medium Schools , ICSE Schools , International Schools , Convent Schools , CBSE Boarding Schools , Correspondence Schools , NOS Schools"
